department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
PSYC,PSYC 537 Ethical and Professional Issues in Clinical Psychology,,Credits: 3,null,null,,,,,,,,,,,,
DPAS,"DPAS 420 Doctor, Patient and Society","This multidisciplinary course will examine critical issues in health care. Problem-based tutorials will address the patient-doctor relationship, health care systems, research, epidemiology, prevention, ethics, behavioural and social sciences, resource allocation, multiculturalism and marginalized populations.",Credits: 6,null,null,,,,,,,,,,,,
URSY,URSY 510 Urban Systems and Society,"Urban systems in society and economy; spatial issues; equity and social justice. Governance, policy, regulation. Globalization and international development; implications for urban systems. Urban and regional economics; infrastructure financing. Urban systems and technology; tradeoffs; socio-economic-technical systems; emerging and green technologies.",Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 330 Advanced Organic Chemistry,"Application of carbonyl group chemistry, cyclization reactions, conformational analysis and rearrangement reactions in organic synthesis.",Credits: 3,Pre-reqs:     CHEM 213.,null,,,,,,,,,,,,
ENGL,ENGL 419A History of the Book - HIST OF THE BOOK,,Credits: 3,"Pre-reqs:      (3rd year standing and 6 credits of first-year English, or Arts One, or 6 credits of ASTU 100 from CAP or 3 credits of first-year English and 3 credits of ASTU 150)",null,,,,,,,,,,,,
MATH,MATH 425 Introduction to Modern Differential Geometry,"Riemannian manifolds, tensors and differential forms, curvature and geodesics.",Credits: 3,Pre-reqs:     MATH 424.,null,,,,,,,,,,,,
EOSC,EOSC 595C Directed Studies - DIRECTED STUDIES,,Credits: 3,null,null,,,,,,,,,,,,
ANTH,ANTH 518C Museum Methods - MUSEUM METHODS,"Analytical approaches to the study of museums and collections. Methods of field collecting, collections research, laboratory procedures, visitor studies, social organization of museum and related cultural industries, exhibit and program evaluation techniques and the ethics of museum research and practice.",Credits: 6,null,null,,,,,,,,,,,,
ECON,ECON 460 Economics of Labour Markets,"The theory of labour supply and demand for individuals, households, and firms. Policy implications for Canadian taxation and benefit programs. Employee selection, hiring and promotion. Credit may not be obtained for both ECON 360 and 460.",Credits: 3,"Pre-reqs:     One of ECON 301, ECON 304 and one of ECON 302, ECON 305.",null,,,,,,,,,,,,
PHYS,PHYS 599A M.A.Sc. Thesis - MASC THESIS,,Credits: 12,null,null,,,,,,,,,,,,
ASTR,ASTR 102 Introduction to Stars and Galaxies,Modern stellar and extragalactic astronomy. Stars and stellar evolution from protostars to black holes, galaxies and quasars, cosmology. ASTR 200/205 rather than ASTR 102 are recommended for students who intend to pursue studies in Astronomy.,Credits: 3,"Pre-reqs:     One of PHYS 11, PHYS 12. (plus Principles of Mathematics 12.)",null,,,,,,,,,,
GEOG,GEOG 424 Feminist Geographies,An introductory survey of contemporary feminist approaches to human geography.,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 538 Computational Mechanics II,Finite elements for geometrically nonlinear problems: Lagrangian and Eulerian formulations. Review of constitutive models: Finite elements for materially nonlinear problems. Incremental formulations. Iterative solution algorithms. Application to project type problems.,Credits: 3,Pre-reqs:     CIVL 537.,null,,,,,,,,,,,,
PHYL,PHYL 530 Muscle Biophysics,,Credits: 3,Equivalents:  ANAT 527 (1982W),null,,,,,,,,,,,,
CHEM,CHEM 245 Intermediate Synthetic Chemistry Laboratory,Techniques in synthetic organic and inorganic chemistry. Open only to students in Chemistry or Biochemistry specializations.,Credits: 1,"Pre-reqs:     Either (a) CHEM 203 or (b) all of CHEM 233, CHEM 235.",Co-reqs:      CHEM 213.,,,,,,,,,,,,
CRWR,CRWR 406W Writing for the Screen I - WRT FOR SCREEN I,A workshop class in writing for the screen. Admission is restricted to B.F.A. Majors in Creative Writing.,Credits: 3,null,null,,,,,,,,,,,,
ANTH,ANTH 549A Master's Thesis - MASTERS THESIS,,Credits: 6,null,null,,,,,,,,,,,,
MECH,MECH 386 Industrial Fluid Mechanics,"Analysis of piping networks. Review of pumps, turbines and hydraulic motors. Flow measurement devices such as flow meters and transducers for measuring velocity and pressure. Multiphase flows. Introduction to turbulence, mixing and buoyancy driven flows.",Credits: 3,Pre-reqs:     MECH 380.,null,,,,,,,,,,,,
BAIT,BAIT 550 Information Technology for Management,Not available to MBA students.,Credits: 1.5,Equivalents:  HCEC 543,null,,,,,,,,,,,,
KORN,KORN 102 Basic Korean,"An introduction to the grammar and syntax of modern spoken and written Korean. As of 2011W, credit will be granted for only one of KORN 100/101 or KORN 102.",Credits: 6,null,null,,,,,,,,,,,,
