department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
CHBE,CHBE 485 Air Pollution Prevention and Control,"Impacts of air pollutants on health, visibility, smog formation, ozone depletion and global warming; air quality and emission standards; atmospheric dispersion of air pollutants; prevention and control technologies for particulates, SOx, NOx, VOCs, and CO2.",Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 002 Pre-Calculus,"Composite, inverse, polynomial, rational, trigonometric, exponential, and logarithmic functions; sequences and series; and analytical geometry. Non-credit Math course offered by Continuing Studies in consultation with the Mathematics Department and taught by Continuing Studies instructors.",Credits: 0,Pre-reqs:     MATH 001. (or a score of 73% or higher in Principlies of Mathematics 11 or Pre-calculus 11.),null,,,,,,,,,,,,
PATH,PATH 406 Clinical Chemistry,This course will review and discuss the methodology of clinical chemistry in order to put these analytical methods into the broad perspective of the pathophysiology of human disease and biochemistry.,Credits: 6,null,null,,,,,,,,,,,,
BIOL,BIOL 462 Ecological Plant Biochemistry,"The structure, biosynthesis, distribution and biological function of secondary plant metabolites.",Credits: 3,"Pre-reqs:     All of BIOL 200, BIOL 201. (BIOL 209 or BIOL 210 is recommended.)",Equivalents:  FRST 413,,,,,,,,,,,,
LIBR,LIBR 581 Digital Libraries,,Credits: 3,null,null,,,,,,,,,,,,
SPPH,SPPH 406 Aging from an Interdisciplinary Perspective,This Interprofessional Health and Human Service (IHHS) course covers issues associated with aging in our society. For students registered in health and human services programs only. Credit will be granted for only one of SPPH 406 or IHHS 406.,Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 491B Senior Honours Seminar - SR HONORS SEMNR1,Offerings in literary theory.,Credits: 3,null,null,,,,,,,,,,,,
ECON,ECON 302 Intermediate Macroeconomic Analysis I,"Income and employment theory, monetary theory, the open economy, economic fluctuations and growth. Credit may be obtained for only one of ECON 302, ECON 305.",Credits: 3,"Pre-reqs:     All of ECON 101, ECON 102, MATH 104, MATH 105.",null,,,,,,,,,,,,
ORPA,ORPA 508 Advanced Orthopaedics I,Selected topics in orthopaedic surgery and related basic sciences. Given in alternate years.,Credits: 2,null,null,,,,,,,,,,,,
ENVR,ENVR 448A Directed Studies in Environmental Science - DIR STD ENVR SCI,Investigation of a topic to be agreed upon by a member of the faculty and the student.  Permission of an ENSC advisor and of the supervising faculty member is required prior to registration.,Credits: 3,Pre-reqs:      (Fourth-year standing in the Faculty of Science.),null,,,,,,,,,,,,
AUDI,AUDI 522 Communication Development and Disorders,,Credits: 3,null,null,,,,,,,,,,,,
ANTH,ANTH 302 Ethnography of South Asia,A specialized study of ethnographic and theoretical problems relating to South Asia.,Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 500 Quantum Mechanics I,"Non-relativistic quantum mechanics with applications to atomic, nuclear and particle physics. Perturbation theory, multielectron atoms, molecular structure, WKB, scattering theory.",Credits: 3,Pre-reqs:     PHYS 402.,null,,,,,,,,,,,,
MICB,MICB 430A Seminar in Microbiological Literature - SEM MICB LIT,Student seminars on selected papers from the microbiological literature. Compulsory for Honours students. Major students may enrol with permission of the department head.,Credits: 3,null,null,,,,,,,,,,,,
OBST,OBST 430 Obstetrics and Gynaecology Clinical Clerkship,"Common problems in ambulatory care and surgical gynaecology. Clinical experience in the delivery of antenatal care including high-risk conditions, as well as intrapartum and post-partum care.",Credits: 6,Pre-reqs:      (All of Medicine I and Medicine II.),null,,,,,,,,,,,,
PHIL,PHIL 451A Philosophy of Mind - PHIL OF MIND,The nature of the mental and physical, the relation between minds and bodies, the character of psychological explanation.,Credits: 3,Pre-reqs:     PHIL 240. (or COGS 200 if accompanied by 3 credits of PHIL at the 200-level or above.),null,,,,,,,,,,
PHAR,PHAR 405D Problems in Clinical Pharmacy - PROB CLINCL PHAR,Individual assignments involving library and clinical investigation of specific problems relating to drug utilization and information topics.,Credits: 6,null,null,,,,,,,,,,,,
LAW,"LAW 481D Topics in Litigation, Dispute Resolution and the Administration of Justice - TPC LIT/DIS/RES","Not offered each year, consult Faculty.",Credits: 3,null,null,,,,,,,,,,,,
SOWK,SOWK 335 Social Analysis for Social Work Practice,Theoretical considerations of relevance to social work practice.,Credits: 6,null,null,,,,,,,,,,,,
COEC,COEC 293 Financial Accounting,Construction and interpretation of financial reports prepared primarily for external use. Credit will be granted for only one of COEC 293 or COMM 293.,Credits: 3,Equivalents:  COMM 293,null,,,,,,,,,,,,
THTR,THTR 325A History of Canadian Theatre - HIST CANADA THTR,,Credits: 3,"This course will examine major trends, developments, artists, and playwrights in Canadian theatre from 1867 - present, with a focus on English Canada. Students will also address how events come to constitute \""history\"": Who and what decides what counts as historically significant?",null,,,,,,,,,,,,
MINE,MINE 404 Mine Management,Human relations in an organization, types of organizations, personnel evaluations and job rating systems, impact of manpower planning on decision-making, union negotiations, public relations, dealing with the media, corporate responsibilities to society and employees.,Credits: 3,Pre-reqs:      (Third- or Fourth-year standing in Mining Engineering.),null,,,,,
GRSJ,GRSJ 300 Intersectional Approaches to Thinking Gender,"Interdisciplinary exploration of the multiple intersections between gender and (neo)colonialism, racism, poverty, ableism, and heterosexism in a globalized world; historical and cross-cultural aspects, and the social construction of sex and gender, masculinity, femininity, and transgender.",Credits: 3,null,null,,,,,,,,,,,,
POLI,POLI 304 British Columbia Government and Politics,"An examination of the party system, and other institutions and processes of the British Columbia political system.",Credits: 3,Pre-reqs:     POLI 101.,null,,,,,,,,,,,,
LAW,LAW 557C Topics in Common Law Theory and Practice: Human and Group Rights Law - GROUPS LAW,,Credits: 3,null,null,,,,,,,,,,,,
KIN,KIN 489B Seminar - SEMINAR,Current topics and research in specific areas.,Credits: 3,Pre-reqs:      (Fourth-year standing. Consult with Advisor for specific prerequisites.),null,,,,,,,,,,,,
ANTH,ANTH 495D Advanced Studies in Anthropology - ADV STUDIES ANTH,An intensive examination of selected topics in Anthropology. Consult the Department for this year's offerings.,Credits: 3,null,null,,,,,,,,,,,,
VISA,VISA 340 Intermediate Photography I,"An investigation of approaches to photography and its meaning in the context of contemporary art. The term theme will be determined by the instructor. B and W, colour and digital production.",Credits: 3,"Pre-reqs:     One of VISA 240, VISA 241.",null,,,,,,,,,,,,
ECON,ECON 303 Intermediate Microeconomics II,"Risk and uncertainty, some concepts in game theory, adverse selection, moral hazard, bargaining, auctions. Credit may be obtained for only one of ECON 303 and 306.",Credits: 3,"Pre-reqs:     One of ECON 301, ECON 304.",null,,,,,,,,,,,,
CDST,CDST 450B Senior Seminar in Canadian Studies - SR SEM CDN STUD,The Canadian experience from a variety of disciplinary perspectives. Offered by the McLean Chair in Canadian Studies. Required of all majors.,Credits: 3,"Proposed readingHenry Wellington Tate The Porcupine Hunter and Other StoriesE. Pauline Johnson/Tekahionwake, an anthologyThomas King (Cherokee; 1943-) The Truth about Stories (text online at UBC Library)Eden Robinson The Sasquatch at HomeGeorge Clutesi Son of Raven, Son of DeerE. Richard Atleo (Umeek) Tsawalk:  A Nuu-chah-nulth WorldviewThomas King, The Back of the TurtleCourse package",null,,,,,,,,,,,,
LIBR,LIBR 514G Topics in the Bibliographic Control of Information - TPCS BBL CTL INF,,Credits: 3,null,null,,,,,,,,,,,,
ETEC,ETEC 580A Problems in Education - PROBLEMS IN EDUC,,Credits: 3,null,null,,,,,,,,,,,,
CRWR,CRWR 403V Writing for Children and Young Adults I - CHILD & YOUNG I,A workshop class in writing for Children and Young Adults. Admission is restricted to B.F.A. Majors in Creative Writing.,Credits: 3,null,null,,,,,,,,,,,,
CRWR,CRWR 514A Advanced Writing for Television I - ADV WRIT TV I,,Credits: 3,null,null,,,,,,,,,,,,
BUSI,BUSI 451 Real Estate Management II,Continuation of BUSI 441.,Credits: 3,null,null,,,,,,,,,,,,
MINE,MINE 547 Industrial Expert Systems,"The use of artificial intelligence to solve complex problems in industry. Topics include knowledge acquisition, knowledge representation, knowledge accumulation, and conflict resolution. Credit will be granted for only one of MINE 547 or MINE 578.",Credits: 3,null,null,,,,,,,,,,,,
POLI,POLI 347A Law and Political Theory - LAW & POLI THRY,"An examination of law and political theory that considers topics such as sovereignty, constitutionalism, civil disobedience, rights and the political role of judges.",Credits: 3,null,null,,,,,,,,,,,,
PHIL,PHIL 560A Philosophy of Science - PHIL OF SCIENCE,,Credits: 3,Note: Paul Bartha is teaching this graduate seminar,null,,,,,,,,,,,,
NURS,NURS 690C Directed Studies in Nursing - DIR STDS NURSING,,Credits: 6,null,null,,,,,,,,,,,,
DANI,DANI 210 Intermediate Danish II,,Credits: 3,null,null,,,,,,,,,,,,
JRNL,JRNL 100A New Media and Society - NEW MEDIA&SOCI,"Development of new media technologies, their applications, and their cultural, political, and social impacts.",Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 226 Advanced Calculus I,"Functions of several variables: limits, continuity, differentiability; implicit functions; Taylor's theorem; extrema; Lagrange multipliers; multiple integration, Fubini's theorem; improper integrals. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     Either (a) a score of 68% or higher in MATH 121 or (b) a score of 80% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001.","Co-reqs:      One of MATH 152, MATH 221, MATH 223.",,,,,,,,,,,,
STAT,STAT 540 Statistical Methods for High Dimensional Biology,,Credits: 3,"Equivalents:  BIOF  540, GSAT  540",null,,,,,,,,,,,,
BAFI,BAFI 532 International Financial Management,Credit will not be granted for both BAFI 532 and BAIM 512.,Credits: 1.5,"Pre-reqs:     All of BAFI 530, BA   513.",null,,,,,,,,,,,,
THTR,THTR 549C Master's Thesis - MASTERS THESIS,,Credits: 12,null,null,,,,,,,,,,,,
NRSC,NRSC 549 Master's Thesis,,Credits: 12,null,null,,,,,,,,,,,,
BIOC,BIOC 303 Molecular Biochemistry,"Structure, function and metabolism of lipids, steroids, amino acids and nucleotides; the biochemistry and molecular biology of replication, transcription, translation and gene regulation. For students in Biochemistry and Honours programs in other life sciences.  Credit is given for only one of BIOC 300 or 302 or 303.",Credits: 6,"Pre-reqs:     One of BIOC 203, BIOL 201 and either (a) one of CHEM 204, CHEM 213 or (b) all of CHEM 205, CHEM 233.",null,,,,,,,,,,,,
FRST,FRST 449D Directed Studies in Forestry - DIRECTED STUDIES,"In special cases and with the approval of the instructor concerned, a student may carry on directed studies of specific problems in forestry.",Credits: 4,null,null,,,,,,,,,,,,
BUSI,BUSI 493 Strategic Management in Business,"A conceptual and practical introduction to the major areas of busness strategy with an integrative perspective on managing a business.  Includes the analysis of a business and its environment, the development and evaluation of strategic alternatives, and implementation of change.",Credits: 3,"Pre-reqs:     BUSI 293 and either (a) all of ECON 101, ECON 102 or (b) ECON 309.","Co-reqs:      Two of BUSI 294, BUSI 329, BUSI 370, BUSI 465.",,,,,,,,,,,,
PSYC,PSYC 368 Perceptual Processing,Perceptual phenomena and their underlying brain mechanisms.,Credits: 3,Pre-reqs:     PSYC 367.,null,,,,,,,,,,,,
GEOG,GEOG 390A Geography of Selected Regions - SELECTED REGIONS,"A geographical analysis of selected regions not regularly included in the Department's offerings in regional geography (e.g., tropical Africa, Oceania). Students should consult the Department regarding regions to be covered.",Credits: 3,null,null,,,,,,,,,,,,
ELEC,ELEC 344 Applied Electronics and Electromechanics,Characteristics of semiconductor devices, analog circuits, force and torque production, motor principles and torque-speed characteristics, principles of power electronics. Not open to students in Electrical and Computer Engineering.,Credits: 3,"Pre-reqs:     One of EECE 251, ELEC 201, EECE 263, ELEC 203, MECH 221.",null,,,,,,,,
ISCI,ISCI 330A Topics in Integrated Sciences - TPCS INTEG SCIE,Interactive examination of a theme common to all areas of science. Themes will change from year to year. Priority to students in the Integrated Sciences Program.,Credits: 3,Pre-reqs:      (Third-year standing in the Faculty of Science),null,,,,,,,,,,,,
EMBA,EMBA 587B Executive Project - EXECUTIV PROJECT,Restricted to Executive M.B.A. students.,Credits: 3,null,null,,,,,,,,,,,,
BIOL,BIOL 112 Biology of the Cell,The principles of cellular and molecular biology using mainly bacterial examples. Aspects of cellular evolution and the impact of cellular processes on the environment.,Credits: 3,"Pre-reqs:     One of CHEM 12, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",null,,,,,,,,,,,,
ARTH,ARTH 227 Art and the Visual Environment in the Modern and Post-modern Periods,"A selective survey of visual art, architecture and other visual media since 1900.",Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 423 Topics in Algebra,"Commutative algebra, algebraic geometry, algebraic number theory, Lie theory, homological algebra and category theory, or some other advanced topic in algebra.",Credits: 3,"Pre-reqs:     A score of 68% or higher in one of MATH 412, MATH 422.",null,,,,,,,,,,,,
EPSE,EPSE 403 Education of Students with Developmental Disabilities in Inclusive Settings,,Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 499 Co-operative Work Placement V,Approved and supervised technical work experience in an industrial research setting for a minimum of 3.5 months. Normally taken during the summer following the fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Physics.,Credits: 3,Pre-reqs:     PHYS 498.,null,,,,,,,,,,,,
ASIA,ASIA 326 Critical Approaches to Manga and Anime,A critical introduction to Japanese manga and anime in the 20th and 21st centuries.,Credits: 3,null,null,,,,,,,,,,,,
CNPS,CNPS 699 Doctoral Dissertation,Pass/Fail.,Credits: 0,null,null,,,,,,,,,,,,
MINE,MINE 590E Special Advanced Topics - GEOTHML EXPL&DRL,A special advanced course may be arranged upon the approval of the department head.,Credits: 3,Pre-reqs:      (Permission of instructor is required.),null,,,,,,,,,,,,
